Marca temporal,Especifique su sexo.,Seleccione el rango de edad.,¿Cuántas horas suele dormir al día?,¿Cuántas horas suele dormir cuando hay examen?,"¿Cuál es tu promedio académico? Ingrese la respuesta incluyendo decimales, por ejemplo: 8.3","En caso de dormir menos cuando hay examen, las horas que duermes menos ¿Se las dedicas al estudio? ","Si respondiste sí a la pregunta anterior, ¿Cuántas horas le dedicas al estudio en lugar de dormir?",¿En que semestre te encuentras?,¿Cuántas horas de estudio dedicas a una materia cuando hay examen (a la semana)?,¿A que facultad/carrera perteneces?,¿Has reprobado alguna materia?,"Si respondiste que sí a la pregunta anterior, ¿a qué crees que se debió?",¿Eres foráneo?,¿Suele despertarse mientras duerme?,"Cuando te despiertas por la mañana, ¿recuerdas haber soñado?","En una escala del 1 al 10, ¿qué tan descansado/a te sientes al despertar?",¿Has recursado o estás recursando alguna materia?,Columna 17,Columna 14,Columna 13,Columna 13
19/05/2026 11:18:47,Masculino,19 - 20 años,Menos de 4.5 h,Más de 9 h,8.5,No,,2,Entre 3 y 4,EESI,Sí,No descansar lo suficiente,Sí,1,3,3,Sí,,,,
19/05/2026 11:20:23,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Menos de 4.5 h,1198,Sí,Entre 4 y 5,4,Entre 5 y 6,FISMAT,No,,No,5,2,8,No,,,,
19/05/2026 11:26:51,Femenino,19 - 20 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,7.2,No,Entre 1 y 2,4,Entre 1 y 2,Facultad de Historia,No,No estudiar lo suficiente,No,2,3,6,No,,,,
19/05/2026 11:27:12,Masculino,20 - 22 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,8.0,Sí,Entre 2 y 3,4,Entre 1 y 2,Facultad de Historia,No,,Sí,1,5,1,No,,,,
19/05/2026 11:30:45,Masculino,20 - 22 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9.2,Sí,Entre 4 y 5,6,Entre 3 y 4,Facultad de Historia,Sí,Ambas,Sí,4,5,5,No,,,,
19/05/2026 11:31:07,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9,Sí,Entre 2 y 3,2,Entre 4 y 5,Facultad de Historia,No,,No,1,1,7,No,,,,
19/05/2026 11:36:48,Masculino,20 - 22 años,Entre 7.5 h y 9 h,Entre 6 h y 7.5 h,8.0,Sí,Entre 2 y 3,10,Entre 4 y 5,FIE,Sí,No descansar y otros desbalances en la rutina (ej. Dieta),No,1,4,8,Sí,,,,
19/05/2026 11:37:08,Masculino,Más de 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,8.1,Sí,Entre 2 y 3,11,Entre 2 y 3,FIE,Sí,No descansar lo suficiente,Sí,1,4,4,Sí,,,,
19/05/2026 11:42:44,Masculino,Más de 22 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,7.8,Sí,Entre 4 y 5,4,Entre 4 y 5,FIE,Sí,No descansar lo suficiente,No,3,3,6,No,,,,
19/05/2026 11:43:35,Masculino,20 - 22 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,7.6,Sí,Entre 2 y 3,4,Entre 3 y 4,FIE,Sí,Ambas,Sí,2,2,5,No,,,,
19/05/2026 16:01:14,Femenino,20 - 22 años,Menos de 4.5 h,Menos de 4.5 h,8.9,Sí,Más de 5,6,Más de 7,EESI,Sí,"Elección del profesor, no me quiso dar calificación de ordinario ",No,5,3,1,No,,,,
20/05/2026 7:26:08,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Menos de 4.5 h,8,Sí,Entre 4 y 5,4,Entre 1 y 2,EESI,Sí,No descansar lo suficiente,No,2,3,3,Sí,,,,
20/05/2026 8:41:50,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,7.9,Sí,Entre 1 y 2,4,Entre 2 y 3,FCCA,Sí,No estudiar lo suficiente,No,1,2,7,No,,,,
21/05/2026 10:21:38,Masculino,Más de 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,9.0,Sí,Más de 5,12,Entre 6 y 7,FISMAT,Sí,No descansar lo suficiente,No,1,5,5,Sí,,,,
